__quarterly__,y,ny,cpi,r,e,yw,rw,cpiw,tna,l,le,ln,bk,rwa,car,bg,rbk,new_rl,rd,car_min,rrw_bkw,yw_tnd,yw_gap,rrw_tnd,py,re,rr_bkw,y_tnd,y_gap,rr_tnd,re_tnd,re_gap,riskw,a,ona,lp,l_to_4ny,l_to_4ny_tnd,ln_to_l,ln_to_l_tnd,a_to_ln,a_to_ln_tnd,aa,bg_to_bk,bg_to_bk_tnd,roc_y,roc_ny,roc_cpi,roc_cpiw,roc_l,roc_py,roc_re,roc_y_tnd,roc_re_tnd,apct_y,apct_ny,apct_cpi,apct_cpiw,apct_l,apct_py,apct_re,apct_y_tnd,apct_re_tnd,x,prem_gap,fwy_bubble,,__eof__
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__eof__
1990Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08598387115,0.05372193827,0.0536114030579,0.00209549998,0.00853232372,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000110535212099999,0.0323724680921,0.05162643829,NaN,NaN,0.0390064105555587,0.0658772637229863,0.0527488490360182,0.189994055735972,0.0030080325226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1990Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0924224983,0.05840827065,0.0575097953769,0.0043948608,0.00800180963,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000898475273100004,0.0349127029231,0.05401340985,NaN,NaN,0.0752438096709853,0.0655319342504995,0.204437708948598,0.197846280392502,0.004138223754,NaN,NaN,NaN,NaN,NaN,NaN,1.08723312171737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.7303341062669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1990Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09824814946,0.06144324376,0.0605091238905,0.00383379147,0.00896385057,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000934119869500004,0.0377390255695,0.05760945229,NaN,NaN,0.062395655492652,0.065177647826957,0.243654324135685,0.205652756646799,0.0040295842531,NaN,NaN,NaN,NaN,NaN,NaN,1.05196135883198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4613801207962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1991Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10225890369,0.06167795705,0.0606697596896,0.00526036729,0.00933559121,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010081973604,0.0415891440004,0.05641758976,NaN,NaN,0.085287638268168,0.06480868479311,0.191659118996614,0.213369933239482,0.0046238688709,NaN,NaN,NaN,NaN,NaN,NaN,1.00382000160859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53677840931776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1991Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10740530655,0.06370497793,0.0626261044622,0.00517122962,0.01020572179,NaN,NaN,NaN,0.0510468530026429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010788734678,0.0447792020878,0.05853374831,NaN,NaN,0.0811746552315303,0.0644183981589314,0.208629967547254,0.220966926100332,0.0046684032614,NaN,NaN,NaN,NaN,NaN,NaN,1.03286459177558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8082007769793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1991Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11281543222,0.06815378595,0.066945078439,0.00556223438,0.01068115425,NaN,NaN,NaN,0.0561396302276975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00120870751100001,0.045870353781,0.06259155157,NaN,NaN,0.0816129918898511,0.0640069672522195,0.217306109096397,0.22840561422105,0.0050066675338,NaN,NaN,NaN,NaN,NaN,NaN,1.06983454299111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.9985430235269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1991Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12245225689,0.07284748038,0.0714284955642,0.00539880618,0.01242072325,NaN,NaN,NaN,0.0569424350953154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014189848158,0.0510237613258,0.0674486742,NaN,NaN,0.0741110900725432,0.0635801568197964,0.26283307244047,0.23564376427382,0.005127409749,NaN,NaN,NaN,NaN,NaN,NaN,1.06886916646778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5263509483204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1992Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13320477214,0.0754562806,0.0738321456556,0.00602632571,0.01335303206,NaN,NaN,NaN,0.0567854459266535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00162413494439999,0.0593726264844,0.06942995489,NaN,NaN,0.0798651306701168,0.0631496002833636,0.26950666501562,0.242635443095783,0.0054890447651,NaN,NaN,NaN,NaN,NaN,NaN,1.0358118112856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1127517439361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1992Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14478702827,0.08064396721,0.0788754073579,0.00601089857,0.01539463648,NaN,NaN,NaN,0.0559889490485715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017685598521,0.0659116209121,0.07463306864,NaN,NaN,0.0745362458960803,0.0627304413757068,0.294225535750473,0.249343780626803,0.0056902271021,NaN,NaN,NaN,NaN,NaN,NaN,1.06875089215569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.4685876498804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
