__quarterly__,FS_ODX_PN_XDC,FSGL_PT,FS_ODX_CRT_XDC,FS_ODX_A_XDC,FSERE_PT,FSANL_PT,FS_ODX_INAET_XDC,FSKRTC_PT,FSKRC_PT,FS_ODX_L_S_XDC,FS_ODX_AFL_XDC,FS_ODX_ANF_XDC,FS_ODX_IIN_XDC,FSCD_PT,FS_ODX_ENI_XDC,FS_ODX_INI_XDC,FSKNL_PT,FSLE_PT,FSFC_PT,FSLT_PT,FS_ODX_LF_XDC,FS_ODX_LDC_XDC,FS_ODX_AFLS_XDC,FS_ODX_LDO_XDC,FS_ODX_LDL_XDC,FS_ODX_IG_XDC,FS_ODX_EP_XDC,FS_ODX_ALB_XDC,FSNERA_XDC,FSSNO_PT,FS_ODX_AF_XDC,FSEIM_PT,FSLS_PT,FSDERE_XDC,FSPE_PT,FS_ODX_INIGL_XDC,FS_ODX_AFL_FX_XDC,FS_ODX_LD_XDC,FS_ODX_II_XDC,FSFCD_PT,FS_ODX_B_XDC,FS_ODX_EI_XDC,FS_ODX_INIF_XDC,FSTI_PT,FS_ODX_EO_XDC,FS_ODX_AFD_XDC,FSKA_PT,FS_ODX_CR_XDC,FS_ODX_LDD_XDC,FSERA_PT,FS_ODX_AFF_XDC,FS_ODX_CT2_XDC,FS_ODX_ARW_XDC,FS_ODX_L_FX_XDC,FS_ODX_L_XDC,FSENE_PT,FS_ODX_CT1_XDC,FS_ODX_AFLG_XDC,FS_ODX_AFC_XDC,FSGA_PT,FSDERA_XDC,FS_ODX_TI_XDC,FS_ODX_RE_XDC,FS_ODX_AFO_XDC,FS_ODX_AFE_XDC,FS_ODX_AFLNP_XDC,FS_ODX_INIO_XDC,FS_ODX_AFLG_ODX_XDC,FS_ODX_AFLG_ODX_RES_XDC,FS_ODX_AFLG_CB_XDC,FS_ODX_AFLG_GG_XDC,FS_ODX_AFLG_NODX_XDC,FS_ODX_AFLG_NFC_XDC,FS_ODX_AFLG_NRES_XDC,FS_ODX_AFLG_ODS_XDC,FS_ODX_AFLG_OFM_XDC,FS_ODX_ONOBS_FX_XDC,FS_ODX_ARW_FSKRC_XDC,FS_ODX_AFLG_NODX_FSCD_XDC,FS_ODX_VLE_XDC,FS_ODX_CT1_FSLE_XDC,FS_ODX_AFLNP_FSPN_XDC,FS_ODX_INIGL_FSTI_XDC,FS_ODX_EP_FSPE_XDC,FS_ODX_INBT_XDC,FS_ODX_IG_FSENE_XDC,FS_ODX_ALB_FSLT_XDC,FS_ODX_AFLNP_FSANL_XDC,FSNERAB_XDC,FS_ODX_LF_FSGL_XDC,FS_ODX_A_FSLT_XDC,FS_ODX_IG_FSTI_XDC,FS_ODX_LDCDC_FSCD_XDC,FS_ODX_VLE_FSLE_XDC,FS_ODX_CRT_FSKNL_XDC,FS_ODX_AFLG_FSANL_XDC,FS_ODX_AFLG_FSFC_XDC,FS_ODX_ARW_FSKRTC_XDC,FS_ODX_CRT_FSGL_XDC,FS_ODX_LDCDC_XDC,FS_ODX_L_FX_FSFCD_XDC,FS_ODX_CRT_FSKRC_XDC,FSNERAB_FSERE_XDC,FSDERA_FSERA_XDC,FS_ODX_ENI_FSPE_XDC,FS_ODX_ENI_FSENE_XDC,FS_ODX_ALB_FSLS_XDC,FS_ODX_AFLS_FSPN_XDC,FSNKNL_FSKNL_XDC,FS_ODX_CRT_FSSNO_XDC,FS_ODX_CT1_FSKRTC_XDC,FSDKA_FSKA_XDC,FSPN_PT,FS_ODX_IIN_FSEIM_XDC,FSNERA_FSERA_XDC,FS_ODX_IG_FSEIM_XDC,FSNSNO_FSSNO_XDC,FS_ODX_AFL_FX_FSFC_XDC,FS_ODX_ON_FX_XDC,FSDERE_FSERE_XDC,FS_ODX_L_S_FSLS_XDC,FS_ODX_CRT_FSGA_XDC,FS_ODX_CT1_FSKA_XDC,FSDFCD_FSFCD_XDC,FS_ODX_AFF_FSGA_XDC,FS_ODX_HQLA_XDC,FS_ODX_SD_XDC,FS_ODX_INIP_XDC,,__eof__
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__eof__
2005Q1,8863369999.99994,0.793048161223245,16572661841530,137499654000000,19.606604966561,3.99352908867761,925273560000,14.4547574711038,18.2887145812811,74512214500000,72327988270000,5992232500000,1175893160000,,1805568860000,1848866430000,-5.55240587661112,6.94424423831671,7.3732687800188,25.7692108447051,131429190000,81466675670000,3967045830000,10354634820000,12142082070000,3024759590000,675941030000,35432575750000,4841309440000,3.25797017447466,131507421500000,38.8755907705048,47.5527079523318,18876772630000,37.4364581143696,1031496090000,5625437930000,118820495720000,2614459650000,6.05597218836384,137499653960000,1438566490000,774316570000,34.1017545133232,1129627830000,38820816810000,9.52616918974938,18547729050000,14857103160000,3.52476830765596,184960560000,3474212166170,90616876149910,7192494330000,118951924910000,59.6929708387171,13098449675360,76295034100000,6167886430000,1.11605825164731,137351139633333,285053800000,925273560000,8484499690000,5521269740000,3046864380000,43053770000,,,,,,,,,,,90616876149910,,909588336890,13098449675360,3046864380000,1031496090000,675941030000,1210327360000,3024759590000,35432575750000,3046864380000,3701094240000,131429190000,137499654000000,3024759590000,,909588336890,16572661841530,76295034100000,76295034100000,90616876149910,16572661841530,81466675670000,7192494330000,16572661841530,3701094240000,137351139633333,1805568860000,1805568860000,35432575750000,3967045830000,-920181450000,16572661841530,13098449675360,137499654000000,130.200932343434,1175893160000,4841309440000,3024759590000,539932379913.591,5625437930000,539932379913.591,18876772630000,74512214500000,16572661841530,13098449675360,118766964350000,184960560000,,,,,__eof__
2005Q2,25644100000,0.700172286557517,16803477123960,144374256170000,22.4851141514343,3.71691211742837,2151647060000,13.6260206414376,17.7156187998054,79060546030000,75507811260000,5856944520000,2440331270000,,3955728860000,4318131220000,-6.04849575181544,7.03529081262629,6.531497599246,26.3507879030758,117653290000,84368472710000,3970496450000,10410114130000,12051513770000,6758462490000,1374603120000,38043754030000,5554179060000,3.16130154168064,138517311650000,36.1077874385007,48.119771416155,19138413490000,34.749679986914,2713330410000,5191123760000,124343000340000,5387044200000,5.57066903672645,144374256220000,2946712930000,1645427630000,40.1471549781436,2581125740000,42407608730000,8.9520420843807,19913602590000,17512899730000,3.97216843259218,128352710000,3879032952610,94851200592240,6926140990000,124460653630000,58.5300113132684,12924444171350,79478307710000,6330614360000,0.763846131685343,139827380290000,625442470000,2151647060000,8696948260000,5445976330000,2954138850000,-40626820000,,,,,,,,,,,94851200592240,,909272233370,12924444171350,2954138850000,2713330410000,1374603120000,2777089530000,6758462490000,38043754030000,2954138850000,4303294120000,117653290000,144374256170000,6758462490000,,909272233370,16803477123960,79478307710000,79478307710000,94851200592240,16803477123960,84368472710000,6926140990000,16803477123960,4303294120000,139827380290000,3955728860000,3955728860000,38043754030000,3970496450000,-1016357600000,16803477123960,12924444171350,144374256170000,134.404530443787,2440331270000,5554179060000,6758462490000,531208581375.701,5191123760000,531208581375.701,19138413490000,79060546030000,16803477123960,12924444171350,124332300920000,128352710000,,,,,__eof__
2005Q3,330808570000,0.795092290350646,16999074401840,147280616490000,22.2305991727232,3.73031511839746,3221826800000,13.3435138773538,17.6089589797368,78826281780000,77150017010000,6479970250000,3839638840000,,5974379100000,6658024250000,-5.89311062660898,7.08768777135953,7.85049853271579,26.7498179114935,135158330000,87882316030000,4030046440000,11252040170000,12918854010000,10497663090000,2098510120000,39397296730000,5589967226666.67,2.34047567206693,140800646240000,36.5761294402524,49.9798999018573,19323676493333.3,35.1251583616446,3727406480000,6373039690000,126727179210000,8294254510000,6.27987541477517,147280616160000,4454615670000,3006878060000,35.5070118753449,3875868980000,43573091850000,8.74613569783272,20418278620000,14673969000000,3.94697437154705,124082490000,4117711827020,96536509747120,7959004520000,126862337540000,56.9115149608026,12881362574820,81180063450000,6120041140000,0.729936742829769,141626641078889,970648620000,3221826800000,8456653920000,5376759830000,3028272180000,-76260290000,,,,,,,,,,,96536509747120,,912990760000,12881362574820,3028272180000,3727406480000,2098510120000,4192475420000,10497663090000,39397296730000,3028272180000,4295769066666.67,135158330000,147280616490000,10497663090000,,912990760000,16999074401840,81180063450000,81180063450000,96536509747120,16999074401840,87882316030000,7959004520000,16999074401840,4295769066666.67,141626641078889,5974379100000,5974379100000,39397296730000,4030046440000,-1001774260000,16999074401840,12881362574820,147280616490000,133.080720637205,3839638840000,5589967226666.67,10497663090000,397859200851.622,6373039690000,397859200851.622,19323676493333.3,78826281780000,16999074401840,12881362574820,126738255050000,124082490000,,,,,__eof__
2005Q4,293860380000,0.778339216527898,17901191028450,157404149660000,22.5101801538025,2.74843383039405,4469886240000,13.065345942793,17.289676301095,85620827430000,80923264170000,5858540680000,5436577260000,,8119697930000,8761126240000,-8.28263079056355,7.02282892240294,7.16520733105499,28.0241758907133,139331990000,93269572290000,3811570420000,11237154410000,14333588640000,14197703500000,2842190320000,44111215760000,5784145190000,1.19174209272756,151545608980000,38.2919481309072,51.5192589046905,19857176661666.7,35.0036460038606,4669321410000,6071426580000,135263462150000,11381463470000,5.97057182360883,157404150050000,5944886210000,4158146230000,32.8878639422214,5277507610000,47744968170000,8.59408808192789,22001355910000,16423146810000,4.00233329777488,177892430000,4373739762060,103536877826430,8073699880000,135402794140000,57.1902204465673,13527451266390,84734834590000,7838679800000,0.993746336303988,144519328093333,1314258950000,4469886240000,8736787970000,6124016440000,2328880860000,-66341400000,,,,,,,,,,,103536877826430,,950009760000,13527451266390,2328880860000,4669321410000,2842190320000,5784145190000,14197703500000,44111215760000,2328880860000,4469886240000,139331990000,157404149660000,14197703500000,,950009760000,17901191028450,84734834590000,84734834590000,103536877826430,17901191028450,93269572290000,8073699880000,17901191028450,4469886240000,144519328093333,8119697930000,8119697930000,44111215760000,3811570420000,-1482689560000,17901191028450,13527451266390,157404149660000,163.665324640093,5436577260000,5784145190000,14197703500000,213336028585.609,6071426580000,213336028585.609,19857176661666.7,85620827430000,17901191028450,13527451266390,135224901710000,177892430000,,,,,__eof__
2006Q1,154548340000,0.65203087219589,20097925663960,161529979570000,20.4460018680584,2.98947322603013,1154422130000,14.7694801874527,18.7637636546178,87170951140000,84015956790000,6033739120000,1460754720000,,2071026190000,2265397370000,-6.51309658462575,6.54183541305609,7.78487810828532,27.5130996353162,131044680000,93648755540000,3938368310000,11743445790000,14785461180000,3726152090000,761214260000,44441904220000,6002310240000,1.71199759581933,155496240450000,39.2027669487855,50.9824702367014,22584799462500,36.7554144740198,1351019090000,6847137000000,139010200420000,2942236950000,6.82773521054852,161529979500000,1481482230000,850400000000,36.2577548465017,1309811930000,49662841860000,9.79362236643784,22388734400000,18832537910000,3.76808977831435,163299890000,4278289456290,107110311310140,9489046100000,139141245100000,55.580828156695,15819636207670,87954325100000,6862391290000,0.812521116509216,159293185490000,346155430000,1154422130000,8396664810000,6395085810000,2629371000000,63978280000,,,,,,,,,,,107110311310140,,1034894563650,15819636207670,2629371000000,1351019090000,761214260000,1500577560000,3726152090000,44441904220000,2629371000000,4617688520000,131044680000,161529979570000,3726152090000,,1034894563650,20097925663960,87954325100000,87954325100000,107110311310140,20097925663960,93648755540000,9489046100000,20097925663960,4617688520000,159293185490000,2071026190000,2071026190000,44441904220000,3938368310000,-1308997310000,20097925663960,15819636207670,161529979570000,149.783667272515,1460754720000,6002310240000,3726152090000,344076004176.551,6847137000000,344076004176.551,22584799462500,87170951140000,20097925663960,15819636207670,138977945210000,163299890000,,,,,__eof__
2006Q2,219912440000,0.931518391514149,18811506202810,166799908140000,16.6836168559277,2.83715027424038,1839135430000,12.6173917991989,15.8191796084378,93120446050000,92234164750000,6463092890000,2997163460000,,4304171360000,4066779660000,-6.92651941823438,6.71747431446647,6.69342477976886,24.4559421314319,175232640000,99504812530000,4034262580000,12461256090000,14995711180000,7063943120000,1538985340000,40792489010000,5079718640000,4.3462019685188,160336815250000,42.4290429450683,43.8061572300641,22047202904285.7,35.7556707500605,1354312650000,6443654770000,145745975240000,5962397580000,6.12646501498541,166799908060000,2965234120000,1914386280000,19.1721907579573,2765186020000,46422530330000,8.99525325495782,20878700180000,18784195440000,3.14791328487469,167913800000,3807432036580,118915814020950,8929524570000,145921207880000,60.9315687694835,15004074166230,96268427330000,6640850200000,0.892612203348808,161367807188571,700723890000,1839135430000,9036690960000,5834665210000,2731279950000,798080730000,,,,,,,,,,,118915814020950,,1007894828240,15004074166230,2731279950000,1354312650000,1538985340000,2539859320000,7063943120000,40792489010000,2731279950000,3678270860000,175232640000,166799908140000,7063943120000,,1007894828240,18811506202810,96268427330000,96268427330000,118915814020950,18811506202810,99504812530000,8929524570000,18811506202810,3678270860000,161367807188571,4304171360000,4304171360000,40792489010000,4034262580000,-1302982630000,18811506202810,15004074166230,166799908140000,147.705934721192,2997163460000,5079718640000,7063943120000,817586052894.565,6443654770000,817586052894.565,22047202904285.7,93120446050000,18811506202810,15004074166230,145753294080000,167913800000,,,,,__eof__
2006Q3,166778500000,0.973632326219578,19841382090310,171026219560000,18.0268143987833,2.78813783769364,2997015930000,12.3579046655739,15.8073682493254,97550545790000,98640221380000,6896787330000,4642046410000,,6522898000000,5897256080000,-7.1071211349167,6.17025366996746,4.72895428665509,21.4586960726947,193182110000,103175764700000,4279700340000,13339940090000,13504603130000,10539302490000,2346445870000,36699996660000,5132834653333.33,1.97555511962492,164129432230000,44.04510084424,37.6215185294864,22167095925000,35.9724446097425,2446551970000,4867036050000,148429181600000,9236134150000,4.78308798825015,171026219570000,4594087740000,3061453520000,23.2136042429882,4176452130000,42664705310000,9.06973283429688,22403855860000,18408873680000,3.12660541589694,281299790000,4329760899620,125519832127380,7095283610000,148622363710000,61.891173597011,15511621190690,102919921720000,7802637000000,1.41774292092978,164166371210000,852610060000,2997015930000,8563296350000,6177272400000,2869549280000,389250590000,,,,,,,,,,,125519832127380,,957106375790,15511621190690,2869549280000,2446551970000,2346445870000,3849625990000,10539302490000,36699996660000,2869549280000,3996021240000,193182110000,171026219560000,10539302490000,,957106375790,19841382090310,102919921720000,102919921720000,125519832127380,19841382090310,103175764700000,7095283610000,19841382090310,3996021240000,164166371210000,6522898000000,6522898000000,36699996660000,4279700340000,-1410151060000,19841382090310,15511621190690,171026219560000,149.141900779623,4642046410000,5132834653333.33,10539302490000,391977439689.461,4867036050000,391977439689.461,22167095925000,97550545790000,19841382090310,15511621190690,148341063920000,281299790000,,,,,__eof__
2006Q4,199859940000,0.825783038254025,20604880715370,181193732380000,18.8143543041479,2.65981848339105,4227695600000,11.8481188196782,15.4389429493942,104232921300000,104841926170000,6842608160000,6482960950000,,9081692370000,8042519660000,-7.67859863813625,5.7857864621395,4.37651470720358,21.4345221161121,170151610000,110825587040000,4490202250000,13122697170000,13858204130000,14525480610000,3220364170000,38838010640000,5243928300000,-0.0551136595756792,174351124220000,44.6316450660974,37.2607906941585,22470585658461.5,35.4599565675445,3985483650000,4784936680000,156989202650000,12758516730000,4.4802343897533,181193732260000,6275555780000,4031918970000,27.4378780090499,5861328200000,45150036730000,8.72687533685099,24034378000000,19182714310000,3.13391731038886,316224890000,4792329572380,133460436915330,7026939820000,157159354260000,62.5224914330735,15812551142990,109332128420000,8543740020000,1.53470866620507,167328227921538,1016232700000,4227695600000,9243274370000,6255922040000,2908036160000,25117039999.9999,,,,,,,,,,,133460436915330,,914880443350,15812551142990,2908036160000,3985483650000,3220364170000,5243928300000,14525480610000,38838010640000,2908036160000,4227695600000,170151610000,181193732380000,14525480610000,,914880443350,20604880715370,109332128420000,109332128420000,133460436915330,20604880715370,110825587040000,7026939820000,20604880715370,4227695600000,167328227921538,9081692370000,9081692370000,38838010640000,4490202250000,-1582166090000,20604880715370,15812551142990,181193732380000,154.406685575739,6482960950000,5243928300000,14525480610000,-11356103813.4438,4784936680000,-11356103813.4438,22470585658461.5,104232921300000,20604880715370,15812551142990,156843129370000,316224890000,,,,,__eof__
2007Q1,289480140000,0.662361497465062,23847011126780,188706626220000,17.7886444227614,2.81192648581252,1076112550000,13.3004531891124,16.7854537425557,104358555410000,110971316190000,5986505060000,1853371580000,,3001495910000,2850362670000,-6.33245924183835,5.56440856972631,4.85954033823399,21.7412831291728,157953420000,118162020300000,4764508570000,16039057210000,16079631090000,4703734250000,861012950000,41027241890000,5651032800000,1.40971871542463,182720121160000,39.4021320400913,39.3137311347534,24197741535000,28.686127711565,1150994830000,5624229090000,164496919320000,3699275910000,6.32158337903423,188706626310000,1845904330000,1700876390000,24.4698099175139,2140482960000,42721991370000,10.0133675497174,24051753570000,14216210720000,3.06885511768352,310718640000,4951123052700,142069505492850,10389152730000,164654872740000,63.810915975961,18895888074080,115735824760000,10551410540000,1.30296680933346,184141400727500,336645650000,1076112550000,10895976650000,7268707770000,3254406310000,-1508550000.00004,,,,,,,,,,,142069505492850,,1051444415320,18895888074080,3254406310000,1150994830000,861012950000,1412758200000,4703734250000,41027241890000,3254406310000,4304450200000,157953420000,188706626220000,4703734250000,,1051444415320,23847011126780,115735824760000,115735824760000,142069505492850,23847011126780,118162020300000,10389152730000,23847011126780,4304450200000,184141400727500,3001495910000,3001495910000,41027241890000,4764508570000,-1510102260000,23847011126780,18895888074080,188706626220000,146.401773969028,1853371580000,5651032800000,4703734250000,336175778923.612,5624229090000,336175778923.612,24197741535000,104358555410000,23847011126780,18895888074080,164344154100000,310718640000,,,,,__eof__
